OBJECTID,Site reference,LDP2 reference,Year site added,Site area (ha),Site address,Easting,Northing,Site type,Site status,Owner/Developer,Tenure type,Planning application reference,Last planning approval date,Building warrant reference,Date completed/expired,Greenfield/Brownfield,Self build,Windfall site,Site capacity,BW plots written off,No of houses,No of flats,Plots completed in survey year,Total completions,Units to build,Year 24/25,Year 25/26,Year 26/27,Year 27/28,Year 28/29,Year 29/30,Year 30/31,Year 31/32,Year 32/33,Year 33/34,Later Years,Total Programmed,Shape__Area,Shape__Length
62,200504D,H32,10/22/2020 12:00:00 AM,1.823668326,ABERLADY CRESCENT PHASE 3B/4,343953,733534,Effective,Under Construction,DJ LAING,Private,"20/00121/FULL, 22/00657/FULL",02/10/2023 00:00,"15/00654/DOM1, 15/00654/DOM1/G",,Brownfield,No,No,34,2,32,0,4,31,3,3,-3,0,0,0,0,0,0,0,0,0,3,18236.68324,816.7369054
63,201904A,,05/07/2018 00:00,0.133660753,"PERTH ROAD, 474, LAND TO EAST OF COACH HOUSE",337685,729805,Small Site,Site Complete,PRIVATE,Private,"18/00129/FULL, 21/00086/FULL",05/07/2021 00:00,21/00461/DOM2,09/01/2023 00:00,Brownfield,No,Yes,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,1336.607574,237.6215568
64,201009A,H30,11/15/2018 12:00:00 AM,0.474455118,HADDINGTON AVENUE (Phase 1),343571,733519,Effective,Site Complete,MERCHANT/HOME SCOTLAND,Private/RSL,18/00224/FULL,9/19/2019 12:00:00 AM,18/00744/DOM1,05/11/2023 00:00,Brownfield,No,No,13,0,13,0,2,13,0,0,0,0,0,0,0,0,0,0,,0,3,4744.551254,423.0495144
65,201902,,7/16/2018 12:00:00 AM,0.85218985,"COLDSIDE ROAD, LAND SOUTH OF",339507,731945,Effective,Under Construction,CALEDONIA HA,RSL,17/00933/FULL,7/16/2018 12:00:00 AM,19/00337/DOM1,,Brownfield,No,Yes,30,0,18,12,20,20,10,10,0,0,0,0,0,0,0,0,0,0,10,8521.898514,428.1049838
66,201414,H10,04/01/2014 00:00,0.827325514,LAUDERDALE AVENUE,338598,733531,Effective,Under Construction,INVERTAY HOMES,Private,18/00463/FULL,9/14/2018 12:00:00 AM,19/00083/DOM1,,Brownfield,No,No,27,0,27,0,2,26,1,1,0,0,0,0,0,0,0,0,0,0,1,8273.255173,395.875551
67,201904F,,09/06/2018 00:00,0.02174565,"ALBERT SQUARE, 21",340324,730464,Small Site,Site Complete,PRIVATE,Private,18/00454/FULL,09/06/2018 00:00,19/00085/DOM1,04/12/2023 00:00,Brownfield,No,Yes,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,,0,2,217.4565125,69.17031102
68,201904G,,10/15/2018 12:00:00 AM,0.084969977,"RIVER CRESCENT, GARDEN GROUND WEST OF BURNSIDE",336537,729831,Small Site,Site Complete,PRIVATE,Private,"18/00595/FULL, 20/00129/FULL",4/30/2020 12:00:00 AM,20/00330/DOM2,11/01/2023 00:00,Brownfield,No,Yes,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,1,849.6997833,128.2115691
69,201906,,9/25/2018 12:00:00 AM,0.140606226,LANGLANDS STREET,341037,731374,Effective,Under Construction,HILLCREST HA,RSL,18/00500/FULL,9/25/2018 12:00:00 AM,20/00378/DOM1,,Brownfield,No,Yes,16,0,0,16,0,0,16,16,0,0,0,0,0,0,0,0,0,0,16,1406.062317,178.2000623
70,201910,,12/14/2018 12:00:00 AM,0.285322203,"GUTHRIE STREET, THE OLD MILL",339735,730377,Effective,Under Construction,RAMSAY PROPERTIES LTD,Private,17/00134/FULL,12/14/2018 12:00:00 AM,19/00274/DOM1,,Brownfield,No,Yes,17,0,0,17,0,0,17,17,0,0,0,0,0,0,0,0,0,0,17,2853.221985,449.4234489
71,201908,,12/20/2018 12:00:00 AM,0.57494227,THORTER LOAN/SOUTH VICTORIA DOCK ROAD,340968,730232,Effective,Under Construction,HILLCREST HA,RSL,18/00387/FULM,12/20/2018 12:00:00 AM,19/00224/DOM1,,Brownfield,No,Yes,119,0,0,119,66,66,53,53,0,0,0,0,0,0,0,0,0,0,53,5749.422729,314.2387732
72,201912,,04/09/2019 00:00,3.948445999,ELLENGOWAN DRIVE,341769,731105,Effective,Under Construction,HILLCREST HA,RSL,18/00487/FULM,04/09/2019 00:00,"18/00752/DOM1, 18/00753/DOM1",,Brownfield,No,Yes,130,0,22,48,8,70,60,60,0,0,0,0,0,0,0,0,0,0,60,39484.45992,1150.85965
73,201830,H46,6/25/2018 12:00:00 AM,15.89729685,"ARBROATH ROAD, LINLATHEN",346394,733242,Effective,Under Construction,KIRKWOOD HOMES,Private,"18/00115/FULM, 19/00799/FULM, 21/00322/FULL, 21/00376/FULL, 21/00677/FULL, 21/00713/FULL",07/01/2021 00:00,"15/00658/DOM1, 20/00388/DOM1, 21/00111/DOM1, 21/00433/DOM1, 21/00672/DOM1",,Greenfield,No,No,250,0,250,0,39,224,26,26,0,0,0,0,0,0,0,0,0,0,26,158972.9684,2189.781895
74,202003,,4/17/2019 12:00:00 AM,0.068308811,"MURRAYGATE, 11-23",340422,730416,Effective,Under Construction,HILLCREST HA,RSL,18/01012/FULL,4/17/2019 12:00:00 AM,21/00072/DOM1,,Brownfield,No,Yes,31,0,0,31,0,0,31,31,0,0,0,0,0,0,0,0,0,0,31,683.0881195,106.7911397
75,202002,,5/28/2019 12:00:00 AM,6.448581112,LIFF HOSPITAL,334641,732800,Effective,Site Complete,MILLER HOMES,Private,"18/00406/FULL, 18/00407/FULL",5/28/2019 12:00:00 AM,18/00564/DOM1,06/06/2023 00:00,Brownfield,No,Yes,54,0,54,0,1,54,0,0,0,0,0,0,0,0,0,0,,0,1,64485.81122,1584.95093
76,202004L,,10/25/2019 12:00:00 AM,0.21775257,PITKERRO MILL,345105,733477,Small Site,Site Complete,DEWLOR DEVELOPMENTS,Private,"19/00560/FULL, 23/00238/FULL",08/02/2023 00:00,19/00493/DOM1,3/25/2024 12:00:00 AM,Brownfield,No,Yes,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,,0,0,2177.525711,337.684968
77,202012,,12/18/2019 12:00:00 AM,2.881652249,"KINGSWAY EAST, FORMER STEWART HOUSE",342852,731829,Effective,Under Construction,PERSIMMON HOMES,Private,"19/00687/FULM, 23/00449/FULL",09/07/2023 00:00,19/00581/DOM1,,Brownfield,No,Yes,71,0,71,0,0,0,71,36,35,0,0,0,0,0,0,0,0,0,71,28816.52254,965.370283
78,202013,,1/23/2020 12:00:00 AM,0.213622512,"BUTTARS LOAN, SITE TO THE EAST",336795,731616,Effective,Under Construction,GREEN PADS LTD,Private,19/00246/FULL,1/23/2020 12:00:00 AM,20/00144/DOM1,,Brownfield,No,Yes,8,0,8,0,0,0,8,4,4,0,0,0,0,0,0,0,0,0,8,2136.225159,187.8530165
79,202004P,,1/31/2020 12:00:00 AM,0.051985298,"ROCKFIELD CRESCENT, 7, LAND TO NORTH",338252,730106,Small Site,Planning Consent,PRIVATE,Private,"19/00914/PPPL, 23/00511/PPPL",9/29/2023 12:00:00 AM,,,Brownfield,No,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,519.8529968,93.91806608
80,201826A,H29,10/16/2017 12:00:00 AM,2.147571481,SUMMERFIELD GARDENS NORTH,343648,733206,Effective,Site Complete,INVERTAY HOMES,Private,17/00307/FULL,10/16/2017 12:00:00 AM,17/00650/DOM1,9/29/2023 12:00:00 AM,Brownfield,No,No,43,3,40,0,3,40,0,0,0,0,0,0,0,0,0,0,,0,3,21475.71497,672.4927697
81,202022,,05/01/2020 00:00,0.31928678,"EAST SCHOOL ROAD, DOWNFIELD HOUSE",339035,733033,Effective,Under Construction,ABERKELL DEVELOPMENTS,Private,"19/00830/FULL, 22/0024/NMV",05/01/2020 00:00,"21/00094/DOM1, 21/00172/DOM1",,Brownfield,No,Yes,14,0,2,12,2,4,10,10,0,0,0,0,0,0,0,0,0,0,10,3192.867828,254.9153606
82,201109B,H17,10/16/2020 12:00:00 AM,0.37882462,"DOCK STREET, HARBOUR CHAMBERS / CUSTOMS HOUSE",340688,730304,Effective,Under Construction,ALICYDON LTD,Private,20/00399/FULL,10/16/2020 12:00:00 AM,22/00142/DOM1,,Brownfield,No,Yes,49,0,0,49,0,0,49,0,0,0,20,29,0,0,0,0,0,0,49,3788.24614,263.974245
83,202041,,12/14/2020 12:00:00 AM,0.08342838,"CONSTABLE STREET, LOWER DENS WORKS, BLOCK G",340826,730806,Effective,Consent Expired,STABLES DEVELOPMENT LLP,Private,20/00572/FULL,12/14/2020 12:00:00 AM,,12/14/2023 12:00:00 AM,Brownfield,No,Yes,24,0,0,24,0,0,24,0,24,0,0,0,0,0,0,0,,0,24,834.2837982,125.7657462
84,202043,,11/06/2020 00:00,0.012891796,"BROWN STREET, 75/77, BROUGHTY FERRY",346017,730834,Small Site,Planning Consent,PRIVATE,Private,"20/00529/PPPL, 22/00547/FULL",11/18/2022 12:00:00 AM,,,Brownfield,No,Yes,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,128.9179535,48.13724312
85,202035G,,11/26/2020 12:00:00 AM,0.010618357,"VICTORIA ROAD, 10,G1 VICTORIA CHAMBERS",340214,730670,Small Site,Under Construction,TAYSIDE PROPERTY MANAGEMENT,Private,20/00133/FULL,11/26/2020 12:00:00 AM,20/00641/DOM1,,Brownfield,No,Yes,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,106.183548,47.32498468
86,202035H,,12/11/2020 00:00,0.018125048,"MURRAYGATE, 39, 1/0",340421,730459,Small Site,Under Construction,CASA FRESA HOLDINGS LLP,Private,20/00509/FULL,12/11/2020 00:00,21/00100/DOM1,,Brownfield,No,Yes,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,181.2505341,68.90484072
87,202035I,,01/06/2021 00:00,0.012995608,"HILLTOWN, 245",340051,731225,Small Site,Consent Expired,PRIVATE,Private,20/00631/FULL,01/06/2021 00:00,,,Brownfield,No,Yes,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,129.9561005,62.08096186
88,202035J,,1/13/2021 12:00:00 AM,0.025383307,"COMMERCIAL STREET, 84, 2/1",340337,730395,Small Site,Consent Expired,CARDROSS ESTATES,Private,20/00612/FULL,1/13/2021 12:00:00 AM,,1/13/2024 12:00:00 AM,Brownfield,No,Yes,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,253.8330688,65.14027464
89,202051,,07/10/2020 00:00,0.739519743,"PITKERRO ROAD, 114-116, LAND AT",342347,732643,Effective,Under Construction,ANGUS HA,RSL,"20/00052/FULL, 20/00777/FULL",02/02/2021 00:00,20/00411/DOM1,,Brownfield,No,Yes,21,0,13,8,0,0,21,21,0,0,0,0,0,0,0,0,0,0,21,7395.197464,363.7280198
90,202035K,,02/10/2021 00:00,0.115040148,"CAENLOCHAN ROAD, 4",345098,731659,Small Site,Under Construction,PRIVATE,Private,20/00625/FULL,02/10/2021 00:00,23/00244/DOM2,,Brownfield,No,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1150.401443,136.3845373
91,202053,,2/18/2021 12:00:00 AM,2.198151616,"MURRAYFIELD PLACE, MURRAYFIELD DRIVE, WHITFIELD AVENUE",343109,732956,Effective,Planning Consent,DUNDEE CITY COUNCIL,Local Authority,"20/00064/FULL, 22/00239/FULL",7/25/2022 12:00:00 AM,22/00293/DOM1,,Brownfield,No,Yes,42,0,10,32,0,0,42,0,22,20,0,0,0,0,0,0,0,0,42,21981.51614,1830.464505
92,202035L,,03/09/2021 00:00,0.080351901,"WEST BELL STREET, 1A",340006,730465,Small Site,Consent Expired,PRIVATE,Private,20/00644/FULL,03/09/2021 00:00,,03/09/2024 00:00,Brownfield,No,Yes,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,803.5190125,126.7112148
93,202055,,3/22/2021 12:00:00 AM,0.035304215,"TANNADICE STREET - 28-30, COURT STREET - 32",340729,731660,Effective,Consent Expired,ARB PROPERTIES,Private,"19/00925/FULL, 20/00784/FULL",3/22/2021 12:00:00 AM,,3/22/2024 12:00:00 AM,Brownfield,No,Yes,7,0,0,7,0,0,7,0,0,7,0,0,0,0,0,0,,0,7,353.04216,84.23631666
94,202061B,,10/22/2020 12:00:00 AM,0.224147459,"DALKEITH ROAD, 69",341712,731577,Effective,Under Construction,MARVEND LTD,Private,"19/00026/FULL, 20/00142/FULL",10/22/2020 12:00:00 AM,21/00103/DOM2,,Brownfield,No,Yes,4,0,1,3,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,2241.474594,193.2217528
95,202019C,,5/20/2020 12:00:00 AM,0.027587521,"DOUGLAS TERRACE, 12",339426,730922,Small Site,Site Complete,PRIVATE,Private,"16/00702/FULL, 20/00143/FULL",5/20/2020 12:00:00 AM,21/00464/DOM2,1/30/2024 12:00:00 AM,Brownfield,No,Yes,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,275.8752136,79.471624
96,202065,,11/18/2020 12:00:00 AM,0.26634558,"DALKEITH ROAD, 57",341769,731399,Effective,Planning Consent,PRIVATE,Private,20/00209/FULL,11/18/2020 12:00:00 AM,23/00055/DOM1,,Brownfield,No,Yes,8,0,8,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,8,2663.45578,209.2784706
97,202066,,12/17/2020 12:00:00 AM,0.658342526,"LIFF PLACE, BROWNHILL PLACE. SITES 1 & 2",336499,732119,Effective,Under Construction,BLACKWOOD HOMES & CARE,RSL,20/00247/FULL,12/17/2020 12:00:00 AM,20/00622/DOM1,,Brownfield,No,Yes,23,0,3,20,0,0,23,10,13,0,0,0,0,0,0,0,0,0,23,6583.425278,553.5259
98,202067,,12/17/2020 12:00:00 AM,0.910086451,"GOURDIE PLACE, GOURDIE CRESCENT, LAND AT. SITES 3 & 4",336236,731913,Effective,Under Construction,BLACKWOOD HOMES & CARE,RSL,20/00248/FULL,12/17/2020 12:00:00 AM,20/00624/DOM1,,Brownfield,No,Yes,22,0,10,12,0,0,22,10,12,0,0,0,0,0,0,0,0,0,22,9100.864609,646.7004477
99,202068,,12/17/2020 12:00:00 AM,0.480890597,"BUTTARS ROAD, LAND TO SOUTH. SITES 5 & 6",336603,731958,Effective,Under Construction,BLACKWOOD HOMES & CARE,RSL,20/00249/FULL,12/17/2020 12:00:00 AM,20/00623/DOM1,,Brownfield,No,Yes,9,0,3,6,0,0,9,9,0,0,0,0,0,0,0,0,9,0,9,4808.90593,435.2599105
100,202024,,5/21/2020 12:00:00 AM,1.019963271,"PITKERRO ROAD, NORTH OF, LONGHAUGH ROAD, EAST OF",342795,732954,Effective,Under Construction,LONGHAUGH DEVELOPMENTS LTD,Private,"19/00063/FULL, ",5/21/2020 12:00:00 AM,20/00529/DOM1,,Brownfield,No,Yes,14,0,14,0,4,12,2,2,0,0,0,0,0,0,0,0,0,0,2,10199.63275,488.6806112
101,202019D,,5/26/2020 12:00:00 AM,0.02131092,"MONIFIETH ROAD, 69, STONELEE GUEST HOUSE",346866,731047,Small Site,Under Construction,PRIVATE,Private,20/00148/FULL,5/26/2020 12:00:00 AM,21/00195/DOM4,,Brownfield,No,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,213.1092224,75.3999887
102,202019E,,6/25/2020 12:00:00 AM,0.968042772,"VICTORIA ROAD, 1, BROUGHTY FERRY",345373,731349,Small Site,Consent Expired,PRIVATE,Private,20/00176/FULL,6/25/2020 12:00:00 AM,,6/25/2023 12:00:00 AM,Brownfield,No,Yes,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,9680.427811,498.3820191
103,202019F,,6/25/2020 12:00:00 AM,0.115366251,"ALBANY ROAD, 39A",344896,731442,Small Site,Site Complete,PRIVATE,Private,20/00292/FULL,6/25/2020 12:00:00 AM,20/00400/DOM4,8/17/2023 12:00:00 AM,Brownfield,No,Yes,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,,0,2,1153.662552,180.681049
104,202030,,7/30/2020 12:00:00 AM,0.129024007,"GELLATLY STREET, 3",340610,730351,Effective,Under Construction,MCGILL (DOCK STREET) LTD,Private,"19/00502/FULL, 21/00215/FULL",12/07/2021 00:00,22/00215/DOM1,,Brownfield,No,Yes,49,0,0,49,0,0,49,0,49,0,0,0,0,0,0,0,0,0,49,1290.240067,186.3028626
105,202031,,7/31/2020 12:00:00 AM,0.211230853,PITKERRO MILL,345088,733487,Small Site,Under Construction,A&G PROPERTIES,Private,19/00861/FULL,7/31/2020 12:00:00 AM,20/00248/DOM2,,Brownfield,No,Yes,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,2112.308502,402.7221661
106,202032A,,7/31/2020 12:00:00 AM,0.025906448,"SYMERS STREET, LAND TO EAST OF 6",338543,734031,Small Site,Planning Consent,PRIVATE,Private,"20/00232/FULL, 23/00474/FULL",9/29/2023 12:00:00 AM,22/00184/DOM2,,Brownfield,No,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,259.0644531,67.27031282
107,202032B,,09/01/2020 00:00,0.207923236,"FAIRFIELD ROAD, 10",344602,731449,Effective,Under Construction,WEST DEVELOPMENTS (SCOTLAND) LTD,Private,"20/00160/FULL, 21/00651/FULL, ",11/11/2021 00:00,22/00129/DOM1,,Brownfield,No,Yes,4,0,0,4,1,1,3,4,0,0,0,0,0,0,0,0,0,0,3,2079.232346,206.9652627
108,202032C,,09/02/2020 00:00,0.206672918,"FAIRFIELD ROAD, 10",344619,731407,Small Site,Site Complete,WEST DEVELOPMENTS (SCOTLAND) LTD,Private,"20/00162/FULL, 21/00702/FULL, 22/00367/FULL",7/29/2022 12:00:00 AM,21/00850/DOM1,04/04/2023 00:00,Brownfield,No,Yes,2,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,,0,0,2066.729218,193.8127743
109,202035A,,09/04/2020 00:00,0.049832626,"ADELAIDE PLACE, BOWLING GREEN, LAND TO WEST",339508,731114,Small Site,Planning Consent,PRIVATE,Private,"20/00310/PPPL, 23/00314/FULL ",8/28/2023 12:00:00 AM,,,Brownfield,No,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,498.3262177,96.06396551
110,202035B,,8/31/2020 12:00:00 AM,0.009521396,"ERSKINE STREET, 20",340962,731134,Small Site,Consent Expired,PRIVATE,Private,20/00365/FULL,8/31/2020 12:00:00 AM,,8/31/2023 12:00:00 AM,Brownfield,No,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,95.21395874,42.75353359
111,202035C,,10/02/2020 00:00,0.130391152,"ALBANY ROAD, 50, GARDEN GROUND TO SOUTH",344782,731354,Small Site,Planning Consent,PRIVATE,Private,"20/00289/PPPL, 23/00839/PPPL",02/02/2024 00:00,,,Brownfield,No,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1303.911545,240.9115874
112,202035D,,11/10/2020 00:00,0.047011426,"SPRINGHILL, 13",341571,731090,Small Site,Under Construction,PRIVATE,Private,20/00459/FULL,11/10/2020 00:00,20/00540/DOM4,11/10/2023 00:00,Brownfield,No,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,470.1142578,88.63437127
113,202035F,,11/12/2020 00:00,0.130969517,"DUDHOPE TERRACE, 9",339435,730892,Small Site,Under Construction,PRIVATE,Private,20/00548/FULL,11/12/2020 00:00,20/00512/DOM4,,Brownfield,No,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1309.695175,154.4181457
114,202061D,,08/11/2020 00:00,0.012799257,"NETHERGATE, 138, BASEMENT",340057,729953,Small Site,Under Construction,PRIVATE,Private,20/00343/FULL,08/11/2020 00:00,20/00563/DOM2,,Brownfield,No,Yes,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,127.992569,52.05568348
115,202071,,2/21/2021 12:00:00 AM,0.128974317,"SOAPWORK LANE, SOAPWORK LANE HOUSE",340134,730639,Effective,Site Complete,HILLCREST HA,RSL,20/00714/FULL,2/24/2021 12:00:00 AM,20/00595/DOM1,04/12/2023 00:00,Brownfield,No,Yes,15,0,0,15,15,15,0,0,0,0,0,0,0,0,0,0,,0,15,1289.743103,151.9439185
116,202061F,,05/12/2021 00:00,0.130322398,"AMERICANMUIR ROAD, 38, GARDEN GROUND",338540,733383,Small Site,Planning Consent,PRIVATE,Private,20/00690/FULL,05/12/2021 00:00,Refused,,Brownfield,No,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1303.223999,170.5392881
117,202061G,,2/23/2021 12:00:00 AM,0.422398003,"DYKES OF GRAY, BRAESIDE",334221,732256,Small Site,Site Complete,PRIVATE,Private,20/00791/FULL,2/23/2021 12:00:00 AM,21/00576/DOM2,8/18/2023 12:00:00 AM,Brownfield,No,Yes,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,4223.980042,287.3967898
118,202061H,,4/21/2021 12:00:00 AM,0.078396289,"NORTH GRANGE FARM, LAND TO EAST OF FARMHOUSE",348471,733313,Small Site,Site Complete,PRIVATE,Private,20/00840/FULL,04/12/2021 00:00,21/00774/DOM2,7/17/2023 12:00:00 AM,Brownfield,No,Yes,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,783.9628754,119.8351489
119,202105B,,07/01/2021 00:00,0.022691432,"SPRINGFIELD, 8, G/0",339325,729829,Small Site,Planning Consent,PRIVATE,Private,20/00618/FULL,7/16/2021 12:00:00 AM,22/00115/DOM1,,Brownfield,No,Yes,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,226.9143219,77.77278963
120,202105C,,08/01/2021 00:00,0.072434696,"FREDERICK STREET, 45, GARDEN GROUND",338778,733449,Small Site,Planning Consent,PRIVATE,Private,"20/00721/FULL, 22/00756/FULL",02/08/2023 00:00,21/00594/DOM1,,Brownfield,No,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,724.3469696,108.4031725
