Month,Year,Site-No,Site-Name,Grid reference,Temperature,N2O-N,CH4-C,CO2-C ,NO3-N,NH4-N,TDN-N,DON-N,DOC,TDC,DIC,CO2 Sat,CH4 Sat,N2O Sat
February,2009,1,Tay Perth,NO 1214523216,2.92,0.58,0.58,0.54,0.65,0.02,0.86,0.19,3.36,7.72,4.36,190.11,1139.62,128.07
March,2009,1,Tay Perth,NO 1214523216,7.33,0.54,0.42,0.5,0.79,0.02,0.86,0.05,3.26,7.49,4.24,206.16,777.24,139.88
April,2009,1,Tay Perth,NO 1214523216,8.49,0.41,0.44,0.64,0.58,0.03,0.7,0.08,3.34,9.46,6.13,274.62,777.52,110.3
May,2009,1,Tay Perth,NO 1214523216,9.73,0.46,0.86,0.48,0.59,0.02,0.79,0.17,4.36,8.38,4.03,215.58,1440.14,130.06
June,2009,1,Tay Perth,NO 1214523216,13.3,0.43,0.51,0.66,0.37,0.04,0.57,0.16,3.36,9.01,5.65,334.44,717.69,137.82
July,2009,1,Tay Perth,NO 1214523216,17.67,0.38,0.56,0.35,0.39,0.03,0.56,0.14,2.99,10.37,7.39,201.98,605.57,144.78
August,2009,1,Tay Perth,NO 1214523216,16.37,0.45,0.53,0.38,0.47,0.03,0.65,0.15,4.9,11.35,6.46,211.54,620.95,163.42
September,2009,1,Tay Perth,NO 1214523216,13.1,0.63,0.82,0.67,0.72,0.03,0.85,0.1,4.63,10.09,5.47,336.54,1162.32,201.06
October,2009,1,Tay Perth,NO 1214523216,10.1,0.49,0.45,0.72,0.62,0.02,0.69,0.05,3.79,7.91,4.13,327.71,744.78,139.88
November,2009,1,Tay Perth,NO 1214523216,7.1,0.65,0.76,0.65,0.89,0.02,0.99,0.08,3.96,8,4.03,267.57,1405.07,166.13
December,2009,1,Tay Perth,NO 1214523216,5.04,0.66,0.67,0.56,0.69,0.02,0.78,0.07,3.22,9.28,6.06,212.41,1294.65,156.66
January,2010,1,Tay Perth,NO 1214523216,2.73,0.47,0.47,0.47,0.76,0.02,0.88,0.1,3.18,7.85,4.67,163.45,919.38,102.9
February,2010,1,Tay Perth,NO 1214523216,3.02,0.48,0.49,0.62,1.09,0.04,1.25,0.12,3.02,7.91,4.89,218.27,960.94,106.37
March,2010,1,Tay Perth,NO 1214523216,7.2,0.49,0.45,0.57,0.81,0.02,1.01,0.17,4.22,8.78,4.57,235.36,829.98,126.2
April,2010,1,Tay Perth,NO 1214523216,7.29,0.41,0.67,0.63,0.59,0.02,0.75,0.14,3.85,9.08,5.24,259.35,1232.32,105.77
May,2010,1,Tay Perth,NO 1214523216,14.1,0.4,0.75,0.45,0.5,0.02,0.71,0.19,3.34,9.02,5.68,233.91,1005.39,133.03
June,2010,1,Tay Perth,NO 1214523216,17.05,0.39,0.56,0.47,0.28,0.04,0.45,0.12,3.79,10.09,6.3,266.67,630.25,145.47
July,2010,1,Tay Perth,NO 1214523216,16.74,0.41,0.45,0.32,0.54,0.03,0.89,0.31,5.68,9.91,4.24,181.12,515.56,151.11
August,2010,1,Tay Perth,NO 1214523216,16.19,0.49,0.4,0.67,0.71,0.03,0.87,0.13,4.36,8.86,4.5,369.95,473.8,176.24
September,2010,1,Tay Perth,NO 1214523216,12.47,0.68,0.46,0.76,0.61,0.03,0.75,0.1,4.84,10.18,5.35,374.81,676.74,212.48
October,2010,1,Tay Perth,NO 1214523216,8.34,0.66,0.53,0.69,0.79,0.03,1.02,0.21,3.84,7.85,4.02,296.24,942.19,176.48
November,2010,1,Tay Perth,NO 1214523216,4.25,0.65,0.67,0.69,0.77,0.03,0.91,0.11,4.13,8.25,4.13,254.22,1305.01,149.92
December,2010,1,Tay Perth,NO 1214523216,1.81,0.52,0.45,0.57,0.97,0.03,1.13,0.13,3.26,8.06,4.8,191.9,873.28,110.13
February,2009,2,River Almond,NO 0940926552,2.7,0.5,0.47,0.35,1.45,0.03,1.83,0.34,2.83,7.18,4.34,120.5,914.91,109.86
March,2009,2,River Almond,NO 0940926552,7.3,0.6,0.35,0.49,1.47,0.02,1.73,0.24,2.84,11.2,8.36,201.77,641.41,155.11
April,2009,2,River Almond,NO 0940926552,8.9,0.46,0.22,0.67,1.56,0.02,1.83,0.25,2.6,12.97,10.37,292.18,387.83,123.93
May,2009,2,River Almond,NO 0940926552,10.5,0.61,0.56,0.55,2.03,0.02,1.91,-0.13,3.25,11.52,8.27,253.69,906.16,176.91
June,2009,2,River Almond,NO 0940926552,12.6,0.67,0.45,0.69,0.99,0.02,1.12,0.1,3.07,13.48,10.41,341.7,654.34,210.67
July,2009,2,River Almond,NO 0940926552,16.5,0.63,0.56,0.5,1.09,0.01,1.36,0.26,2.44,11.32,8.88,278.77,648.15,229.43
August,2009,2,River Almond,NO 0940926552,16.9,0.6,0.34,0.55,0.83,0.01,0.94,0.09,2.75,12.07,9.32,312.44,383.96,221.22
September,2009,2,River Almond,NO 0940926552,12,0.91,0.37,1.07,1.49,0.02,1.68,0.17,2.69,9.42,6.72,520.2,556.44,278.29
October,2009,2,River Almond,NO 0940926552,10.3,0.4,0.31,0.6,1.71,0.02,2.01,0.28,3.44,10.85,7.41,272.97,502.9,114.97
November,2009,2,River Almond,NO 0940926552,6.1,0.83,0.33,0.81,0.73,0.01,0.89,0.15,4.24,16.32,12.08,320.31,617.52,203.97
December,2009,2,River Almond,NO 0940926552,4.1,0.65,0.98,0.53,1.21,0.01,1.42,0.19,3.06,8.5,5.44,194.15,1904.79,149.02
January,2010,2,River Almond,NO 0940926552,3.1,0.53,0.56,0.56,1.14,0.01,1.29,0.13,3.86,6.98,3.12,199.23,1091.22,117.51
February,2010,2,River Almond,NO 0940926552,3.1,0.57,0.45,0.72,1.67,0.02,1.92,0.24,2.92,4.07,1.15,254.19,877.34,126.12
March,2010,2,River Almond,NO 0940926552,7.2,0.66,0.36,0.57,1.27,0.01,1.49,0.2,4.13,9.6,5.47,233.87,661.68,169.28
April,2010,2,River Almond,NO 0940926552,9.89,0.59,0.44,0.87,1.05,0.05,1.2,0.1,2.88,9.27,6.39,392.87,732.05,166.82
May,2010,2,River Almond,NO 0940926552,14.2,0.73,0.48,0.59,0.87,0.01,0.22,-0.01,2.39,9.16,6.77,307.63,637.72,242.42
June,2010,2,River Almond,NO 0940926552,17.2,0.6,0.53,0.57,1.3,0.01,1.48,0.16,2.31,12.7,10.4,324.73,587.53,224.26
July,2010,2,River Almond,NO 0940926552,18.1,0.67,0.43,0.49,0.78,0.03,0.88,0.07,3.95,9.25,5.3,285.97,450.78,259.12
August,2010,2,River Almond,NO 0940926552,15.1,0.68,0.4,0.93,0.87,0.02,1,0.1,2.64,10.96,8.32,498.58,503.96,233.82
September,2010,2,River Almond,NO 0940926552,12.5,1.69,0.46,1.07,0.46,0.03,0.57,0.07,3.38,8.2,4.82,528.93,672.53,525.99
October,2010,2,River Almond,NO 0940926552,9.7,0.76,0.48,1.09,1.23,0.03,1.43,0.16,3,11.18,8.18,488.95,805.27,213.44
November,2010,2,River Almond,NO 0940926552,4.1,0.63,0.59,0.97,1.45,0.03,1.71,0.23,3.72,10.6,6.89,355.32,1147.16,144.64
December,2010,2,River Almond,NO 0940926552,2.3,0.67,0.56,0.76,0.98,0.01,1.12,0.13,3.2,5.6,2.41,260.5,1088.07,144.25
February,2009,3,River Isla,NO 1630838094,2.6,0.68,1.81,0.75,1.7,0.02,2.16,0.62,2.86,12.04,9.18,261.24,3525.94,148.51
March,2009,3,River Isla,NO 1630838094,7.1,0.94,1.13,0.78,2.94,0.03,3.72,1.07,4.23,20.54,16.31,318.88,2082.92,238.84
April,2009,3,River Isla,NO 1630838094,8.8,0.71,2.61,0.94,2.64,0.06,3.37,0.97,3.43,22.78,19.36,408.47,4542.22,193.85
May,2009,3,River Isla,NO 1630838094,10.6,0.62,9.83,0.86,2.58,0.04,3.28,0.94,3.72,13.67,9.95,307.15,15824.25,179.6
June,2009,3,River Isla,NO 1630838094,12.8,0.64,6.72,1.12,1.03,0.09,1.41,0.41,2.78,16.77,13.99,558.31,9665.21,200.67
July,2009,3,River Isla,NO 1630838094,16.7,0.62,2.4,0.54,1.16,0.09,1.57,0.46,1.93,16.52,14.59,305.1,2743.9,226.83
August,2009,3,River Isla,NO 1630838094,17.2,0.65,3.67,0.5,2.45,0.05,3.13,1.39,4.13,20.56,16.43,285.14,4068.4,240.71
September,2009,3,River Isla,NO 1630838094,13.1,1.02,9.79,1.43,2.77,0.05,3.53,1.02,5.78,26.32,20.54,720.35,13855.36,324.31
October,2009,3,River Isla,NO 1630838094,10.3,0.76,2.35,1.02,1.99,0.04,2.54,0.73,4.43,14.38,9.95,468.87,3838.73,219.13
November,2009,3,River Isla,NO 1630838094,6.7,1.24,7.27,1.27,2.66,0.05,3.39,0.99,4.72,14.27,9.54,509.99,13539.55,311.4
December,2009,3,River Isla,NO 1630838094,4.6,1.03,9.12,0.97,2.2,0.07,2.84,0.83,2.63,15.61,12.99,361.94,17647.9,239.32
January,2010,3,River Isla,NO 1630838094,3.5,0.77,4.27,0.68,2.11,0.05,2.71,1.25,2.88,11.77,8.89,243.39,8330.03,173.38
February,2010,3,River Isla,NO 1630838094,3.6,0.8,2.34,0.81,2.33,0.08,3.02,0.87,1.92,10.46,8.54,291.3,4560.43,180.73
March,2010,3,River Isla,NO 1630838094,7.3,0.82,1.23,0.71,2.8,0.06,3.57,1.04,4.69,19.24,14.55,292.38,2254.16,211.08
April,2010,3,River Isla,NO 1630838094,9.5,0.64,3.23,0.85,2.31,0.06,2.97,0.89,2.97,14.79,11.83,378.71,5465.36,177.49
May,2010,3,River Isla,NO 1630838094,14.5,0.63,1.58,0.56,2.11,0.07,2.73,0.79,1.75,10.95,9.2,292.63,2062.69,210.13
June,2010,3,River Isla,NO 1630838094,17.7,0.65,1.23,0.75,0.64,0.08,0.9,0.27,1.78,10.88,9.1,434.26,1321.93,247.69
July,2010,3,River Isla,NO 1630838094,18.6,0.61,2.1,0.52,1.87,0.09,2.45,0.74,5.64,16.59,10.95,307.38,2133.95,238.22
August,2010,3,River Isla,NO 1630838094,15.2,0.79,1.23,0.91,1.91,0.05,2.46,0.74,4.26,17.81,13.55,489.34,1540.45,273.87
September,2010,3,River Isla,NO 1630838094,12.7,1.1,7.89,1.14,2.41,0.05,3.07,0.89,4.59,19.04,14.46,566.44,11410.41,345.01
October,2010,3,River Isla,NO 1630838094,9.6,1.18,3.2,0.99,2.67,0.03,2.77,0.8,2.86,11.25,8.39,442.56,5391.69,330.03
November,2010,3,River Isla,NO 1630838094,4.2,1.19,5.1,0.93,2.04,0.03,2.6,0.75,3.63,11.34,7.71,341.96,9909.31,274.33
December,2010,3,River Isla,NO 1630838094,2.1,0.92,3.24,0.83,2.93,0.04,3.72,1.08,2.26,13.31,11.05,282.42,6285.06,196.91
February,2009,4,Tay Kinclaven,NO 1593037946,3.97,0.61,0.52,0.43,0.39,0.02,0.72,0.31,3.49,6.5,3.01,155.49,1019.46,139.64
March,2009,4,Tay Kinclaven,NO 1593037946,8.18,0.52,0.47,0.51,0.38,0.02,0.68,0.27,3.14,5.95,2.81,216.81,837.33,137.74
April,2009,4,Tay Kinclaven,NO 1593037946,9.25,0.47,0.34,0.56,0.26,0.02,0.47,0.19,3.32,7.67,4.35,247.28,575.57,129.78
May,2009,4,Tay Kinclaven,NO 1593037946,10.68,0.51,0.7,0.47,0.33,0.01,1.09,0.74,4.48,7.3,2.82,218.18,1129.54,147.37
June,2009,4,Tay Kinclaven,NO 1593037946,12.7,0.4,0.54,0.58,0.28,0.02,0.49,0.19,3.62,7.83,4.22,288.2,781.04,124.61
July,2009,4,Tay Kinclaven,NO 1593037946,15.75,0.38,0.63,0.37,0.17,0.01,0.32,0.14,3.29,9.06,5.77,202.27,763.34,134.36
August,2009,4,Tay Kinclaven,NO 1593037946,17.34,0.42,0.61,0.4,0.18,0.01,0.33,0.14,5.03,9.66,4.63,229.05,670.45,156.36
September,2009,4,Tay Kinclaven,NO 1593037946,13.6,0.46,0.51,0.7,0.22,0.01,0.39,0.16,4.48,8.17,3.68,355.88,701.56,149.71
October,2009,4,Tay Kinclaven,NO 1593037946,10.3,0.48,0.63,0.61,0.17,0.02,0.34,0.15,3.61,6.24,2.63,279.85,1024.68,136.3
November,2009,4,Tay Kinclaven,NO 1593037946,7.3,0.61,1.14,0.43,0.19,0.01,0.36,0.16,3.76,6.32,2.56,178.3,2094.57,157.3
December,2009,4,Tay Kinclaven,NO 1593037946,5.2,0.62,0.81,0.48,0.25,0.01,0.45,0.19,3.36,7.6,4.24,183.13,1555.86,147.14
January,2010,4,Tay Kinclaven,NO 1593037946,4.09,0.54,0.53,0.43,0.27,0.01,0.48,0.21,3.27,6.48,3.21,158.53,1025.1,122.43
February,2010,4,Tay Kinclaven,NO 1593037946,3.84,0.46,0.43,0.48,0.36,0.02,0.64,0.26,3.37,7.05,3.68,174.17,837.41,105.38
March,2010,4,Tay Kinclaven,NO 1593037946,7.4,0.45,0.47,0.58,0.26,0.02,0.48,0.19,4.14,7.19,3.05,239.74,858.96,116.72
April,2010,4,Tay Kinclaven,NO 1593037946,7.7,0.41,0.72,0.6,0.22,0.01,0.4,0.17,4.18,8.08,3.9,250.87,1303.33,106.22
May,2010,4,Tay Kinclaven,NO 1593037946,13.98,0.37,0.67,0.43,0.31,0.01,0.54,0.22,3.8,8.43,4.63,221.11,901.61,120.91
June,2010,4,Tay Kinclaven,NO 1593037946,16.56,0.36,0.61,0.42,0.2,0.01,0.36,0.15,4.58,10.01,5.44,235.05,703.45,129.27
July,2010,4,Tay Kinclaven,NO 1593037946,17.79,0.37,0.43,0.34,0.21,0.01,0.38,0.16,5.68,8.5,2.82,196.86,459.67,141.28
August,2010,4,Tay Kinclaven,NO 1593037946,16.64,0.36,0.41,0.48,0.2,0,0.37,0.16,4.5,7.86,3.36,269.24,470.53,132.17
September,2010,4,Tay Kinclaven,NO 1593037946,12,0.53,0.51,0.51,0.22,0.01,0.4,0.17,5.08,8.9,3.81,247.62,765.94,162.46
October,2010,4,Tay Kinclaven,NO 1593037946,7.88,0.61,0.54,0.69,0.24,0.01,0.43,0.19,4.08,6.97,2.89,290.17,971.86,160.77
November,2010,4,Tay Kinclaven,NO 1593037946,5.07,0.67,0.89,0.48,0.18,0.02,0.33,0.14,4.47,7.44,2.97,182.65,1713.54,159.24
December,2010,4,Tay Kinclaven,NO 1593037946,2.52,0.48,0.51,0.55,0.23,0.01,0.41,0.18,3.73,7.41,3.68,190.08,992.5,104.63
February,2009,5,Clunie Out,NO 1593137947,3.5,0.6,0.85,0.71,1.26,0.03,1.81,0.51,3.37,13.72,10.35,254.32,1656.97,133.93
March,2009,5,Clunie Out,NO 1593237948,7.2,0.68,0.96,0.67,1.15,0.03,1.64,0.47,4.02,14.52,10.5,274.9,1764.48,172.86
April,2009,5,Clunie Out,NO 1593337949,8.9,0.43,1.1,0.48,0.96,0.02,1.38,0.39,3.92,15.09,11.17,209.33,1907.88,116.54
May,2009,5,Clunie Out,NO 1593437950,10.9,0.58,0.79,0.46,2.03,0.02,2.87,0.82,3.15,15.18,12.03,215.14,1254.22,169.21
June,2009,5,Clunie Out,NO 1593537951,13.4,0.52,1.23,0.67,0.69,0.01,0.98,0.28,3.86,16.04,12.18,340.57,1716.49,168.87
July,2009,5,Clunie Out,NO 1593637952,17.2,0.58,1.67,0.39,0.34,0.03,0.51,0.14,8.18,24.49,16.32,222.22,1851.35,215.81
August,2009,5,Clunie Out,NO 1593737953,17.6,0.6,1.7,0.48,0.4,0.03,0.6,0.17,3.74,16.13,12.4,274.18,1838.48,227.25
September,2009,5,Clunie Out,NO 1593837954,15.2,0.53,2.16,0.83,0.54,0.03,0.8,0.22,4.18,18.04,13.85,444.89,2701.88,182.27
October,2009,5,Clunie Out,NO 1593937955,10.7,0.64,0.44,1.22,0.6,0.04,0.89,0.25,5.33,21.48,16.15,565.69,705.58,186.35
November,2009,5,Clunie Out,NO 1594037956,7,1.06,0.37,1.48,0.59,0.01,0.85,0.24,4.08,18.05,13.96,601.7,680.71,269.89
